"","...1","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"22","daily_S_female_60+",14.8,12.9,11.7,NA,10.5,NA,7.3,NA,5.2,NA,NA,6.4,NA,NA,4,NA,4.4,NA,4.9,NA,3.6,NA,NA,3,NA,1.7,NA,NA,1.8,NA,1.5,NA,NA,1.3,NA,1.3,NA,1.5
"23","daily_consumption_1_10",27.1,36.8,29.3,NA,30.2,NA,27.9,NA,35.9,NA,NA,43.7,NA,NA,39.1,NA,37.7,NA,44.8,NA,46.8,NA,NA,53.2,NA,48.4,NA,NA,52.9,NA,54.6,NA,NA,56,NA,60.5,NA,57.8
"24","daily_consumption_11_20",52.3,51,55.7,NA,53.3,NA,58.5,NA,54,NA,NA,44.5,NA,NA,51.7,NA,52.3,NA,45.4,NA,47,NA,NA,41.9,NA,46.9,NA,NA,43.7,NA,42.1,NA,NA,41.7,NA,37,NA,39.5
"25","daily_consumption>21",20.6,12.2,15,NA,16.5,NA,13.6,NA,10.1,NA,NA,11.8,NA,NA,9.2,NA,10,NA,9.9,NA,6.2,NA,NA,4.9,NA,4.7,NA,NA,3.4,NA,3.3,NA,NA,2.3,NA,2.6,NA,2.7
"26","daily_consumption_15_19",12,11,12,NA,10,NA,13,NA,11,NA,NA,11,NA,NA,14,NA,13,NA,13,NA,12,NA,NA,9,NA,11.5,NA,NA,8.6,NA,8.3,NA,NA,9.2,NA,8.6,NA,NA
"27","daily_consumption_20_29",15,13,14,NA,14,NA,14,NA,13,NA,NA,11,NA,NA,14,NA,15,NA,13,NA,13,NA,NA,12,NA,12.4,NA,NA,12.4,NA,12.8,NA,NA,12.2,NA,11.1,NA,11.7
"28","daily_consumption_30_39",17,15,15,NA,16,NA,15,NA,14,NA,NA,13,NA,NA,16,NA,17,NA,14,NA,14,NA,NA,13,NA,13.3,NA,NA,12.8,NA,12.4,NA,NA,12.5,NA,12,NA,12
"29","daily_consumption_40_49",18,15,17,NA,17,NA,17,NA,15,NA,NA,14,NA,NA,17,NA,17,NA,17,NA,15,NA,NA,15,NA,14.9,NA,NA,14,NA,13.1,NA,NA,13.2,NA,12.3,NA,12.9
"30","daily_consumption_50_59",18,15,16,NA,16,NA,16,NA,14,NA,NA,13,NA,NA,17,NA,18,NA,16,NA,16,NA,NA,15,NA,15.5,NA,NA,14.7,NA,13.8,NA,NA,14.1,NA,13.5,NA,13.7
"31","daily_consumption_60+",15,13,13,NA,13,NA,13,NA,12,NA,NA,12,NA,NA,15,NA,14,NA,14,NA,14,NA,NA,13,NA,13.1,NA,NA,12.7,NA,12.8,NA,NA,13.2,NA,12.4,NA,12.4
"32","daily_consumption_average",16,14,15,NA,15,NA,15,NA,13,NA,NA,13,NA,NA,16,NA,16,NA,15,NA,14,NA,NA,13,NA,13.9,NA,NA,13.4,NA,13,NA,NA,13.1,NA,12.4,NA,12.7
